,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
1,89.6,4,+31.37,121.0,3,72.4,8,ACC,-.046,279,+3.10,82,100.1,27,111.0,1,1,+10.95,6,1,North Carolina,31-7
2,92.0,13,+30.81,122.8,1,65.8,162,SEC,+.028,110,-6.87,312,100.3,37,109.1,33,2,+8.73,33,1,Florida,35-5
3,91.7,11,+29.33,121.0,4,64.9,206,B10,+.057,46,-1.71,191,99.2,4,109.0,37,3,+9.82,17,1,Ohio St.,35-4
4,93.5,21,+28.48,122.0,2,59.4,327,BE,+.006,163,-1.02,174,99.3,5,109.7,18,4,+10.41,10,2,Georgetown,30-7
5,87.5,1,+27.81,115.3,29,68.7,63,B12,+.031,102,-0.93,170,101.2,64,108.1,58,5,+6.86,59,1,Kansas,33-5
6,88.3,2,+27.15,115.4,27,63.7,251,P10,+.019,132,+5.93,39,99.9,20,111.0,3,6,+11.08,4,2,UCLA,30-6
7,92.3,14,+26.97,119.3,7,63.7,247,B12,-.047,281,-5.98,297,101.4,67,106.7,87,7,+5.38,78,3,Texas A&M,27-7
8,90.1,8,+25.45,115.6,25,63.8,243,B10,+.034,91,-1.57,184,100.3,35,108.1,55,8,+7.78,47,2,Wisconsin,30-6
9,90.6,10,+24.81,115.4,28,68.4,68,CUSA,+.030,104,+3.41,76,102.4,97,105.3,130,9,+2.93,106,2,Memphis,33-4
10,89.9,6,+23.30,113.2,44,64.5,218,ACC,-.074,314,+3.88,68,99.4,6,110.7,4,10,+11.30,3,6,Duke,22-11
11,95.2,33,+22.90,118.1,10,62.2,298,BE,+.033,93,+0.72,137,100.1,25,109.6,19,11,+9.54,22,3,Pittsburgh,29-8
12,90.0,7,+22.42,112.4,53,71.4,17,ACC,-.027,247,-3.07,231,100.4,40,108.9,38,12,+8.48,36,4,Maryland,25-9
13,95.3,34,+21.73,117.0,15,65.8,165,SEC,-.029,254,+8.21,25,97.8,1,111.0,2,13,+13.23,1,8,Kentucky,22-12
14,93.8,23,+21.58,115.4,26,64.9,203,B10,-.058,298,+1.51,111,98.5,3,108.5,43,14,+9.96,14,7,Indiana,21-11
15,96.5,47,+21.45,118.0,11,58.1,331,Horz,+.016,145,+6.61,35,101.8,79,106.6,94,15,+4.77,85,5,Butler,29-7
16,88.8,3,+21.03,109.8,84,61.0,312,MVC,+.017,138,+7.30,30,100.0,22,110.2,11,16,+10.19,12,4,Southern Illinois,29-7
17,91.8,12,+20.97,112.8,49,60.3,319,B10,-.036,265,-1.63,188,100.2,28,109.2,27,17,+9.07,28,9,Michigan St.,23-12
18,97.6,54,+20.76,118.3,8,66.0,158,P10,+.031,100,-9.09,322,100.8,53,108.0,59,18,+7.19,55,3,Oregon,29-8
19,93.1,18,+20.35,113.5,40,64.2,229,BE,-.046,277,-3.61,244,100.6,48,107.9,61,19,+7.29,53,6,Louisville,24-10
20,96.3,45,+20.20,116.5,20,57.5,332,MWC,-.021,232,-1.91,200,103.2,117,106.5,95,20,+3.24,99,1,Air Force,26-9
