,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
1,92.1,18,+31.14,123.2,1,72.9,6,ACC,-.011,195,+1.06,126,98.3,15,108.2,27,1,+9.91,24,1,North Carolina,34-4
2,86.8,3,+29.25,116.0,17,67.1,96,BE,+.024,107,-1.68,200,98.6,24,109.0,11,2,+10.37,13,1,Connecticut,31-5
3,92.3,19,+28.96,121.2,2,65.2,174,BE,-.012,201,+0.79,132,98.0,12,108.1,28,3,+10.11,19,1,Pittsburgh,31-5
4,84.2,1,+28.67,112.8,37,65.9,145,CUSA,-.009,190,+4.19,67,100.8,78,105.5,73,4,+4.73,77,2,Memphis,33-4
5,85.2,2,+26.06,111.2,49,66.9,103,BE,+.068,25,-0.19,161,99.0,37,108.6,17,5,+9.57,27,1,Louisville,31-6
6,91.8,17,+24.81,116.6,13,70.9,15,B12,+.031,87,-3.76,251,98.4,20,106.4,57,6,+7.96,44,3,Missouri,31-7
7,93.7,33,+24.59,118.3,4,66.6,109,B12,+.018,120,+0.46,143,98.9,31,108.3,25,7,+9.49,29,2,Oklahoma,30-6
8,93.0,24,+24.51,117.5,8,67.1,97,WCC,+.003,156,+10.61,13,100.5,74,105.1,89,8,+4.63,78,4,Gonzaga,28-6
9,89.9,6,+24.37,114.3,26,66.5,112,B10,+.091,11,+5.81,42,97.1,2,109.4,5,9,+12.33,2,2,Michigan St.,31-7
10,93.2,28,+24.31,117.5,7,66.3,127,ACC,+.053,47,+3.18,84,98.3,17,108.5,19,10,+10.23,15,2,Duke,30-7
11,90.9,13,+24.21,115.1,19,63.7,240,BE,-.067,315,+2.11,107,98.0,10,108.9,12,11,+10.95,8,6,West Virginia,23-12
12,95.6,44,+23.93,119.5,3,65.3,171,P10,-.030,251,-3.43,243,99.1,40,107.6,39,12,+8.42,39,6,UCLA,26-9
13,90.5,10,+23.89,114.4,24,68.3,62,BE,+.021,116,-5.37,286,98.9,32,108.9,14,13,+9.99,22,3,Villanova,30-8
14,90.7,11,+23.83,114.5,23,67.2,93,B12,-.013,202,+1.55,117,99.1,39,107.9,32,14,+8.83,37,3,Kansas,27-8
15,95.2,42,+23.03,118.2,5,59.1,334,P10,-.018,223,-2.04,207,98.8,29,108.9,13,15,+10.14,18,6,Arizona St.,25-10
16,94.8,39,+22.21,117.0,10,69.7,29,BE,+.024,106,+0.77,133,97.0,1,108.4,21,16,+11.46,4,3,Syracuse,28-10
17,91.0,14,+22.09,113.1,34,72.2,10,P10,-.005,180,+0.09,151,99.2,44,109.4,4,17,+10.18,16,4,Washington,26-9
18,88.7,5,+21.84,110.5,60,65.9,144,B10,-.012,199,-5.45,289,98.3,16,107.2,46,18,+8.94,36,5,Purdue,27-10
19,96.1,52,+21.02,117.1,9,67.5,78,BE,-.014,203,-4.95,279,99.5,49,107.8,34,19,+8.22,41,6,Marquette,25-10
20,90.8,12,+20.24,111.0,53,65.8,149,A10,-.008,185,+7.97,24,100.0,62,105.8,68,20,+5.81,64,4,Xavier,27-8
21,93.9,35,+20.10,114.0,28,69.0,41,MWC,-.046,285,+0.39,145,100.9,82,105.4,76,21,+4.57,79,8,BYU,25-8
22,92.5,20,+19.65,112.2,42,65.4,160,B12,-.048,288,+2.01,108,99.0,36,109.2,8,22,+10.16,17,7,Texas,23-12
23,96.7,61,+19.62,116.4,16,67.9,67,ACC,-.024,236,-4.45,266,99.2,43,105.4,77,23,+6.19,60,7,Clemson,23-9
24,92.7,22,+18.88,111.6,46,72.8,7,ACC,+.051,52,-4.35,262,99.9,55,107.5,41,24,+7.66,51,4,Wake Forest,24-7
25,88.1,4,+18.72,106.8,104,62.8,271,B10,+.001,164,-3.36,239,98.6,23,106.5,55,25,+7.96,45,5,Illinois,24-10
26,98.1,73,+18.33,116.4,15,69.3,36,B12,-.003,169,-0.28,165,98.4,19,108.8,15,26,+10.46,12,8,Oklahoma St.,23-12
27,91.8,16,+18.26,110.0,65,63.7,242,P10,-.032,260,+0.74,134,99.7,51,110.5,2,27,+10.81,9,10,USC,22-13
28,92.9,23,+17.80,110.8,56,65.0,184,MWC,+.013,136,+6.96,34,100.6,75,107.9,33,28,+7.29,53,5,Utah,24-10
29,95.7,46,+17.62,113.3,31,59.1,333,B10,-.052,299,+1.32,121,97.8,9,107.3,44,29,+9.51,28,12,Wisconsin,20-13
30,99.4,96,+17.37,116.8,11,66.0,140,P10,+.001,162,-3.54,246,98.8,30,108.0,30,30,+9.17,33,7,California,22-11
31,94.2,36,+16.96,111.1,51,62.7,277,BE,-.106,340,+2.49,96,97.6,5,108.7,16,31,+11.11,7,6,Georgetown,16-15
32,98.7,83,+16.48,115.1,20,67.7,72,SEC,-.032,261,+9.15,21,98.5,21,107.9,31,32,+9.40,31,9,Tennessee,21-13
33,100.1,115,+16.38,116.5,14,65.8,152,B12,-.017,219,-2.35,218,98.0,11,108.6,18,33,+10.57,11,3,Baylor,24-15
34,96.9,63,+16.34,113.3,32,62.5,284,B10,+.042,67,-3.41,241,98.2,14,107.7,36,34,+9.46,30,8,Ohio St.,22-11
35,98.9,88,+16.16,115.1,21,65.8,151,SEC,-.076,326,-8.15,321,101.4,104,104.0,122,35,+2.61,104,1,Florida,25-11
36,93.3,30,+16.05,109.4,71,61.8,305,MWC,+.020,117,-1.71,201,100.0,61,105.6,70,36,+5.59,66,1,San Diego St.,26-10
37,101.8,147,+15.96,117.7,6,64.9,187,P10,+.018,119,+2.34,100,97.7,8,109.0,10,37,+11.33,6,12,Arizona,21-14
38,94.5,38,+15.78,110.3,62,62.8,274,Horz,-.014,206,+6.15,39,100.5,73,103.0,159,38,+2.51,105,9,Butler,26-6
39,90.1,7,+15.76,105.9,116,65.9,148,ACC,+.066,28,+0.60,140,99.2,42,109.2,6,39,+10.01,21,5,Florida St.,25-10
40,92.6,21,+15.43,108.1,90,64.5,211,B10,+.031,89,-4.18,257,98.9,33,107.4,43,40,+8.44,38,10,Minnesota,22-11
41,99.6,100,+15.38,115.0,22,67.2,94,BE,-.034,267,-3.71,250,97.6,6,107.5,42,41,+9.93,23,2,Notre Dame,21-15
42,95.9,48,+15.30,111.2,50,64.3,216,ACC,-.048,290,-4.21,258,98.9,34,108.1,29,42,+9.10,35,4,Miami FL,19-13
43,96.9,62,+15.29,112.2,41,64.8,196,MWC,-.054,302,+0.48,142,101.3,100,105.9,66,43,+4.56,80,3,New Mexico,22-12
44,101.6,143,+15.12,116.7,12,60.0,327,WAC,+.046,58,-2.77,225,103.6,192,103.2,151,44,-0.47,169,11,Utah St.,30-5
45,98.1,74,+15.01,113.1,35,63.9,235,B12,+.053,48,-4.30,261,99.3,45,107.1,48,45,+7.85,48,9,Texas A&M,24-10
46,96.6,60,+14.86,111.5,47,66.1,136,SEC,+.075,22,-8.66,327,101.1,86,104.6,101,46,+3.50,92,8,LSU,27-8
47,97.5,67,+14.75,112.2,40,62.5,285,B10,+.014,132,+0.63,139,97.1,3,108.5,20,47,+11.39,5,10,Michigan,21-14
48,93.2,27,+14.62,107.8,91,66.6,111,SEC,-.073,321,-5.74,295,101.4,101,106.5,56,48,+5.14,69,4,Kentucky,22-14
49,90.4,8,+14.58,105.0,133,57.6,340,P10,-.076,327,-1.96,206,99.7,52,109.8,3,49,+10.04,20,7,Washington St.,17-16
50,95.5,43,+14.38,109.9,68,63.5,255,A10,-.005,173,+7.22,32,100.3,68,106.9,49,50,+6.68,54,11,Temple,22-12
51,95.2,40,+14.18,109.4,72,67.4,84,B12,-.019,228,-8.12,320,100.3,71,106.2,62,51,+5.84,63,4,Kansas St.,22-12
52,98.3,77,+14.13,112.5,39,67.5,80,P10,-.022,234,-4.87,278,99.9,58,107.6,38,52,+7.65,52,,Stanford,20-14
53,95.7,47,+13.73,109.4,70,66.4,122,CUSA,-.009,188,+3.87,70,101.2,92,106.2,61,53,+5.04,71,7,UAB,22-12
54,96.4,57,+13.62,110.1,64,65.8,150,CAA,-.073,320,+3.46,78,102.7,157,102.9,166,54,+0.23,156,11,VCU,24-10
55,96.4,56,+13.55,110.0,67,66.3,126,ACC,+.039,72,-3.29,238,98.7,28,108.3,24,55,+9.61,26,10,Maryland,21-14
56,97.2,65,+13.36,110.6,58,66.5,114,WCC,+.083,16,+1.62,115,101.8,121,103.6,135,56,+1.81,115,2,Saint Mary's,28-7
57,98.9,87,+12.91,111.8,44,61.8,304,B10,+.080,18,-9.92,337,99.0,38,105.2,86,57,+6.15,61,2,Penn St.,27-11
58,93.4,31,+12.75,106.2,110,64.1,226,CUSA,+.060,36,+2.32,101,100.5,72,105.4,79,58,+4.88,73,4,Tulsa,25-11
59,94.3,37,+12.46,106.8,102,68.3,60,SEC,-.032,259,-7.27,310,101.2,95,104.7,96,59,+3.54,91,1,Auburn,24-12
60,96.5,58,+12.44,109.0,78,64.2,223,MVC,-.038,273,-4.41,263,102.0,130,103.1,153,60,+1.10,131,5,Illinois St.,24-10
61,102.0,152,+12.29,114.3,25,67.5,79,Sum,-.009,187,+2.21,105,104.7,236,103.1,154,61,-1.60,193,14,North Dakota St.,26-7
62,101.5,141,+12.26,113.7,29,67.7,76,A10,-.043,278,+0.22,148,101.7,115,104.9,95,62,+3.16,96,6,Rhode Island,23-11
63,91.3,15,+12.21,103.5,153,62.9,268,B12,-.032,262,-8.47,325,100.3,69,106.6,52,63,+6.32,58,6,Nebraska,18-13
64,93.1,26,+12.06,105.1,129,70.0,23,SC,+.003,153,+8.47,23,106.6,319,102.8,172,64,-3.79,245,6,Davidson,27-8
65,99.7,102,+12.01,111.7,45,60.2,324,B10,-.029,250,-5.83,296,98.6,26,106.6,54,65,+7.92,46,5,Northwestern,17-14
66,93.3,29,+11.96,105.3,124,63.7,243,Horz,+.009,145,+7.07,33,100.9,81,104.6,100,66,+3.76,88,13,Cleveland St.,26-11
67,98.4,78,+11.93,110.3,63,70.7,16,MAAC,+.031,90,+7.27,29,101.5,109,102.4,188,67,+0.91,138,9,Siena,27-8
68,100.1,112,+11.79,111.9,43,67.0,98,MVC,+.050,54,-2.51,220,101.4,103,102.3,192,68,+0.97,136,1,Creighton,27-8
69,96.2,54,+11.55,107.8,92,67.2,95,SEC,-.004,170,-3.07,234,100.3,70,105.3,82,69,+4.96,72,13,Mississippi St.,23-13
70,97.7,69,+11.49,109.2,76,68.5,55,CUSA,-.038,272,-4.81,277,102.5,149,104.2,113,70,+1.63,118,,Houston,21-12
71,95.9,49,+11.44,107.3,96,72.6,8,SEC,-.012,198,-9.84,334,101.6,111,104.4,105,71,+2.80,102,3,South Carolina,21-10
72,99.5,97,+11.37,110.9,55,65.4,168,ACC,-.007,184,-2.87,227,99.5,48,107.5,40,72,+8.01,43,2,Virginia Tech,19-15
73,95.6,45,+11.29,106.9,101,65.1,176,MWC,+.010,143,-1.30,191,100.8,77,105.5,74,73,+4.73,76,5,UNLV,21-11
74,102.0,150,+11.20,113.2,33,65.3,172,ACC,+.038,74,-5.57,292,100.2,67,106.6,51,74,+6.40,56,7,Boston College,22-12
75,98.6,81,+10.62,109.2,75,68.4,58,MAAC,+.003,158,-0.27,163,102.5,148,100.9,244,75,-1.57,190,3,Niagara,26-9
76,100.4,119,+10.30,110.7,57,67.7,75,BE,-.025,239,-5.48,290,98.3,18,106.6,53,76,+8.26,40,,Seton Hall,17-15
77,100.7,127,+10.26,111.0,54,72.1,11,BE,+.034,79,-4.69,275,99.5,47,107.2,47,77,+7.68,49,5,Providence,19-14
78,93.0,25,+10.23,103.3,156,64.5,210,A10,+.107,5,-4.57,269,102.6,152,104.9,93,78,+2.34,110,11,Dayton,27-8
79,102.7,170,+10.16,112.9,36,65.0,182,Horz,-.018,222,-0.86,181,102.3,140,102.8,169,79,+0.55,145,,Green Bay,22-11
80,97.6,68,+10.01,107.6,93,65.3,173,SEC,-.011,194,-6.22,303,100.6,76,103.9,126,80,+3.25,94,,Vanderbilt,19-12
81,103.6,185,+9.84,113.5,30,63.0,266,ACC,-.060,310,-10.96,340,100.2,66,106.0,65,81,+5.74,65,,North Carolina St.,16-14
82,98.4,79,+9.84,108.2,89,70.5,18,CUSA,+.003,155,+2.52,95,101.7,116,106.0,64,82,+4.30,82,,UTEP,23-14
83,100.9,131,+9.70,110.6,59,60.8,318,MVC,+.051,50,+1.88,110,101.6,114,104.7,97,83,+3.10,98,12,Northern Iowa,23-11
84,99.6,101,+9.10,108.7,82,69.0,42,AE,-.020,230,-5.33,285,105.3,260,99.8,276,84,-5.47,279,,Vermont,24-9
85,106.2,244,+8.95,115.2,18,68.9,47,A10,+.009,146,-3.06,233,100.9,83,103.7,131,85,+2.83,101,7,Duquesne,21-13
86,100.0,108,+8.72,108.7,83,63.5,254,BE,+.032,86,-2.26,213,98.7,27,106.8,50,86,+8.11,42,,Cincinnati,18-14
87,100.2,116,+8.44,108.6,84,57.6,341,B10,-.055,303,-3.27,237,99.7,53,107.6,37,87,+7.89,47,,Iowa,15-17
88,103.0,173,+8.10,111.1,52,65.6,155,SB,+.092,10,+6.63,36,102.8,162,102.2,197,88,-0.60,173,12,Western Kentucky,25-9
89,96.6,59,+8.04,104.6,136,62.2,294,CAA,-.011,197,-0.25,162,102.9,165,102.7,175,89,-0.25,168,7,George Mason,22-11
90,95.2,41,+7.85,103.0,162,67.6,77,Sum,-.111,342,+13.25,4,103.4,180,105.2,88,90,+1.78,116,,Oral Roberts,16-15
91,96.2,53,+7.38,103.5,154,60.4,322,MAC,-.005,178,+10.25,15,100.0,60,102.5,185,91,+2.44,107,,Miami OH,17-13
92,104.2,196,+7.19,111.4,48,66.3,128,SEC,-.001,166,+0.06,155,99.3,46,105.4,80,92,+6.06,62,,Mississippi,16-15
93,98.0,72,+7.02,105.0,132,62.2,295,CAA,+.043,64,-8.55,326,103.9,201,101.4,226,93,-2.52,209,,Old Dominion,25-10
94,102.3,161,+7.01,109.3,74,71.4,14,B12,-.017,220,+1.39,119,98.6,22,109.2,7,94,+10.65,10,,Texas Tech,14-19
95,96.0,51,+6.90,102.9,163,64.8,190,MAC,-.014,204,-1.83,205,102.5,147,100.9,246,95,-1.60,192,13,Akron,23-13
96,93.8,34,+6.90,100.7,213,61.6,309,Horz,+.014,134,+1.42,118,101.7,117,103.0,164,96,+1.26,127,,Wright St.,20-13
97,99.6,99,+6.84,106.4,107,59.7,330,CAA,+.023,111,+6.72,35,101.1,88,103.4,144,97,+2.28,112,,Northeastern,19-13
98,93.7,32,+6.73,100.4,218,70.5,19,ACC,-.107,341,-4.44,265,99.6,50,107.3,45,98,+7.67,50,,Georgia Tech,12-19
99,99.0,90,+6.71,105.7,119,63.9,231,A10,-.041,277,+1.78,113,101.2,93,104.2,114,99,+3.00,99,,Saint Joseph's,17-15
100,99.3,93,+6.63,105.9,113,67.5,81,SEC,-.016,217,-7.19,308,101.2,91,105.2,85,100,+4.06,85,,Alabama,18-14
101,90.4,9,+6.52,97.0,268,62.4,289,Slnd,+.053,49,+4.63,58,103.9,202,101.9,212,101,-1.98,204,14,Stephen F. Austin,24-8
102,107.8,271,+6.36,114.2,27,64.8,192,Sum,+.026,102,+7.23,31,103.8,198,104.1,118,102,+0.27,152,,Oakland,23-13
103,99.8,104,+6.07,105.8,117,66.3,125,WAC,+.002,159,+2.94,91,103.2,173,104.2,109,103,+1.04,135,,Nevada,21-13
104,97.8,70,+5.77,103.5,151,67.2,89,ACC,-.066,313,-2.58,222,98.6,25,108.4,23,104,+9.75,25,,Virginia,10-18
105,100.7,126,+5.67,106.4,108,69.6,31,ASun,-.048,289,-1.26,189,105.0,246,100.2,267,105,-4.73,263,16,East Tennessee St.,23-11
106,100.5,121,+5.35,105.9,115,66.7,107,A10,-.009,189,-3.46,245,101.9,128,103.0,163,106,+1.08,132,,La Salle,18-13
107,103.3,179,+5.23,108.5,85,65.4,162,Ivy,-.005,174,-0.50,175,104.6,232,99.0,291,107,-5.58,281,14,Cornell,21-10
108,97.0,64,+5.18,102.2,182,71.8,12,BW,-.045,283,+5.14,50,103.7,194,104.0,123,108,+0.26,154,15,Cal St. Northridge,17-14
109,102.3,160,+5.01,107.3,97,64.6,209,WCC,-.006,181,+0.64,138,102.8,160,103.0,158,109,+0.27,153,,Portland,19-13
110,103.9,189,+4.92,108.8,80,58.5,335,BW,-.026,241,-0.41,171,104.3,221,102.4,186,110,-1.91,201,,Pacific,21-13
