,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
1,88.5,3,+32.33,120.8,2,67.7,94,ACC,-.028,232,+2.42,94,96.9,4,109.5,7,1,+12.59,7,1,Duke,31-6
2,89.5,6,+28.30,117.8,9,68.2,75,BE,+.012,140,-2.05,216,98.8,14,107.7,27,2,+8.93,18,2,Connecticut,33-6
3,91.2,12,+27.66,118.9,5,66.1,148,A10,+.060,42,+8.86,10,100.1,43,107.1,38,3,+6.99,40,1,Saint Joseph's,30-2
4,91.1,11,+27.37,118.5,6,64.8,203,B12,+.029,92,-5.55,274,100.1,44,107.7,29,4,+7.56,31,2,Oklahoma St.,31-4
5,88.2,2,+25.91,114.1,20,59.7,314,BE,-.028,235,-8.20,305,100.5,65,106.4,63,5,+5.97,56,3,Pittsburgh,31-5
6,90.3,8,+25.74,116.0,14,60.7,310,B10,-.001,174,+3.63,64,99.7,30,108.0,20,6,+8.34,23,6,Wisconsin,25-7
7,95.5,36,+25.34,120.8,3,66.6,128,WCC,+.013,136,+7.00,23,102.2,116,105.5,94,7,+3.28,105,2,Gonzaga,28-3
8,88.8,4,+24.69,113.5,28,69.1,49,ACC,+.008,148,+0.97,138,97.1,5,110.8,2,8,+13.74,3,3,Georgia Tech,28-10
9,95.1,33,+23.98,119.1,4,62.1,292,ACC,-.072,298,-0.59,179,96.7,3,109.5,6,9,+12.81,6,3,North Carolina St.,21-10
10,90.1,7,+23.35,113.5,26,66.1,151,SEC,+.031,87,+3.47,67,99.3,21,108.3,16,10,+8.97,16,1,Kentucky,27-5
11,94.1,23,+23.23,117.4,10,70.9,16,ACC,-.091,311,+2.76,79,96.4,2,110.2,4,11,+13.85,2,6,North Carolina,19-11
12,89.3,5,+22.52,111.9,42,64.5,212,P10,+.051,56,-1.79,209,102.2,117,105.9,78,12,+3.76,99,1,Stanford,30-2
