,AdjD,AdjDRk,AdjEM,AdjO,AdjORk,AdjT,AdjTRk,Conf,Luck,LuckRk,NCSOS,NCSOSRk,OppD,OppDRk,OppO,OppORk,Rk,SOS,SOSRk,Sd,Team,W-L
187,104.5,212,-1.01,103.5,160,67.7,81,NEC,-.023,240,-5.63,298,106.8,329,95.0,338,187,-11.77,338,8,Quinnipiac,23-10
188,103.4,183,-1.12,102.3,179,65.1,217,AE,+.052,55,-7.89,330,105.6,286,97.8,308,188,-7.82,306,8,Stony Brook,22-10
189,101.4,146,-1.19,100.3,207,65.2,209,MAC,-.010,197,-3.46,256,103.8,201,100.5,242,189,-3.23,229,,Eastern Michigan,17-15
190,104.9,221,-1.31,103.6,159,65.2,210,SC,+.012,129,+6.56,38,103.8,200,103.3,155,190,-0.44,168,,Davidson,16-15
191,101.2,139,-1.42,99.7,219,61.2,324,SEC,-.006,185,-5.27,289,100.4,89,106.0,68,191,+5.54,72,,LSU,11-20
192,107.7,269,-1.43,106.2,122,58.5,344,SB,+.017,118,-2.34,227,105.3,275,99.5,269,192,-5.78,273,,Denver,19-13
193,104.6,216,-1.45,103.1,168,67.1,109,MAAC,+.074,29,-0.16,152,101.4,109,101.5,208,193,+0.11,159,,Rider,17-16
194,103.0,176,-1.64,101.4,190,67.3,101,B10,-.046,290,-5.79,300,98.6,31,106.8,41,194,+8.25,42,,Indiana,10-21
195,105.2,227,-1.78,103.4,161,63.4,277,BSky,+.018,117,+2.86,86,105.5,284,104.2,127,195,-1.33,188,,Montana St.,15-14
196,103.4,184,-1.85,101.6,187,63.5,272,MAC,-.016,222,-1.74,208,102.6,162,100.4,245,196,-2.24,206,,Central Michigan,15-15
197,102.3,165,-1.96,100.3,206,59.4,338,SC,-.020,233,+2.94,85,104.4,236,102.1,186,197,-2.33,208,,The Citadel,16-16
198,106.0,240,-2.10,103.9,153,62.9,290,Slnd,+.020,112,-4.29,271,105.3,273,99.6,265,198,-5.66,269,,UTSA,19-11
199,101.7,154,-2.38,99.3,227,66.1,164,MAAC,-.110,343,-3.90,264,102.2,143,101.0,224,199,-1.18,184,,Manhattan,11-20
200,104.2,206,-2.90,101.3,191,63.1,282,MAC,+.052,52,-0.33,154,102.2,140,102.9,167,200,+0.77,154,,Bowling Green,14-16
